Üniv. Sıra,Tür,Üniversite,Genel Puan,Öğr.Den. Puan (Sıra),Yerleşke Puan (Sıra),Akad.Des. Puan (Sıra),Yönetim Puan (Sıra),Öğr.İmk. Puan (Sıra),Kariyer Puan (Sıra)
26,Devlet,İstanbul Üniversitesi,431,70 (35),78 (28),71 (31),50 (57),89 (6),73 (24)
27,Devlet,Tarsus Üniversitesi,430,84 (6),61 (88),75 (20),69 (27),64 (68),77 (14)
28,Devlet,Kocaeli Üniversitesi,430,63 (59),78 (29),69 (40),62 (35),83 (18),75 (19)
29,Devlet,Bandırma Onyedi Eylül Üniversitesi,426,76 (18),61 (89),75 (21),74 (13),72 (49),68 (38)
30,Devlet,Balıkesir Üniversitesi,423,64 (55),77 (35),66 (49),71 (20),77 (32),68 (39)
31,Devlet,Anadolu Üniversitesi,423,64 (56),91 (3),60 (66),47 (66),92 (3),69 (36)
32,Devlet,Manisa Celâl Bayar Üniversitesi,422,55 (75),74 (47),67 (46),67 (29),85 (14),74 (20)
33,Devlet,Marmara Üniversitesi,422,61 (62),77 (36),78 (15),54 (50),74 (44),78 (13)
34,Devlet,İzmir Kâtip Çelebi Üniversitesi,420,72 (29),71 (56),71 (32),67 (30),75 (40),64 (51)
35,Devlet,Atatürk Üniversitesi,418,67 (41),76 (38),59 (70),71 (21),77 (33),68 (40)
36,Devlet,Ankara Sosyal Bilimler Üniversitesi,417,69 (36),83 (15),68 (41),45 (73),88 (9),64 (52)
37,Devlet,Burdur Mehmet Akif Ersoy Üniversitesi,415,68 (40),79 (25),63 (56),70 (24),71 (53),64 (53)
38,Devlet,Eskişehir Teknik Üniversitesi,414,64 (57),68 (70),62 (59),72 (19),75 (41),73 (25)
39,Devlet,İskenderun Teknik Üniversitesi,414,71 (32),70 (59),73 (25),62 (36),73 (47),65 (49)
40,Devlet,İzmir Bakırçay Üniversitesi,413,67 (42),78 (30),59 (71),73 (17),75 (42),61 (59)
41,Devlet,İnönü Üniversitesi,412,73 (27),84 (13),71 (33),54 (51),71 (54),59 (64)
42,Devlet,Van Yüzüncü Yıl Üniversitesi,410,67 (43),79 (26),67 (47),48 (63),78 (27),71 (29)
43,Devlet,Boğaziçi Üniversitesi,409,85 (5),75 (42),70 (36),28 (114),85 (15),66 (45)
44,Devlet,Kırşehir Ahi Evran Üniversitesi,407,71 (33),76 (39),60 (67),63 (33),67 (60),70 (33)
45,Devlet,Trakya Üniversitesi,406,67 (44),77 (37),63 (57),63 (34),73 (48),63 (56)
46,Devlet,Karadeniz Teknik Üniversitesi,406,60 (64),75 (43),73 (26),51 (54),77 (34),70 (34)
47,Devlet,Zonguldak Bülent Ecevit Üniversitesi,405,66 (50),74 (48),68 (42),68 (28),75 (43),54 (76)
48,Devlet,Gazi Üniversitesi,405,72 (30),84 (14),62 (60),49 (61),74 (45),64 (54)
49,Devlet,Erzurum Teknik Üniversitesi,404,76 (19),64 (79),65 (52),64 (32),63 (70),72 (28)
50,Devlet,İstanbul Üniversitesi-Cerrahpaşa,401,72 (31),60 (93),58 (73),62 (37),72 (50),77 (15)
51,Devlet,Ondokuz Mayıs Üniversitesi,398,67 (45),73 (51),71 (34),49 (62),71 (55),67 (44)
52,Devlet,Giresun Üniversitesi,397,73 (28),71 (57),58 (74),60 (40),64 (69),71 (30)
53,Devlet,Pamukkale Üniversitesi,397,60 (65),78 (31),70 (37),52 (53),77 (35),60 (62)
54,Devlet,Tekirdağ Namık Kemal Üniversitesi,394,59 (67),74 (49),74 (23),50 (58),71 (56),66 (46)
55,Devlet,Harran Üniversitesi,393,58 (70),75 (44),64 (54),59 (42),76 (37),61 (60)
56,Devlet,Isparta Uygulamalı Bilimleri Ü.,389,53 (82),61 (90),67 (48),55 (49),76 (38),53 (79)
57,Devlet,Kütahya Sağlık Bilimleri Üniversitesi,382,64 (58),70 (60),61 (62),47 (67),70 (57),79 (10)
58,Devlet,Selçuk Üniversitesi,382,65 (52),63 (82),60 (68),41 (83),77 (36),69 (37)
59,Devlet,Afyon Sağlık Bilimleri Üniversitesi,382,77 (16),74 (46),62 (61),40 (87),66 (63),74 (21)
60,Devlet,İstanbul Medeniyet Üniversitesi,377,54 (78),85 (11),60 (69),60 (41),58 (81),60 (63)
61,Devlet,Dokuz Eylül Üniversitesi,377,76 (20),73 (52),66 (50),25 (120),78 (28),59 (65)
62,Devlet,Necmettin Erbakan Üniversitesi,376,75 (22),61 (91),76 (18),44 (77),63 (71),57 (68)
63,Devlet,Karabük Üniversitesi,372,62 (61),69 (65),71 (35),38 (90),67 (61),65 (50)
64,Devlet,Dicle Üniversitesi,369,46 (94),78 (32),66 (51),53 (52),69 (59),57 (69)
65,Devlet,Adana Alparslan Türkeş B.T.Ü.,363,67 (46),48 (115),64 (55),70 (25),58 (82),56 (73)
66,Devlet,Tokat Gaziosmanpaşa Üniversitesi,362,38 (115),78 (33),74 (24),45 (74),66 (64),61 (61)
67,Devlet,Hitit Üniversitesi,360,63 (60),75 (45),58 (75),46 (71),60 (77),58 (67)
68,Devlet,Mimar Sinan Güzel Sanatlar Ü.,352,54 (79),69 (66),68 (43),30 (111),67 (62),64 (55)
69,Devlet,Fırat Üniversitesi,351,69 (37),71 (58),53 (85),37 (93),74 (46),47 (90)
70,Devlet,Recep Tayyip Erdoğan Üniversitesi,347,58 (71),73 (53),63 (58),51 (55),56 (86),46 (94)
71,Devlet,Düzce Üniversitesi,345,53 (83),64 (80),70 (38),47 (68),54 (90),57 (70)
72,Devlet,Sivas Cumhuriyet Üniversitesi,344,58 (72),69 (67),49 (91),37 (94),65 (66),66 (47)
73,Devlet,Gaziantep Üniversitesi,343,59 (68),63 (83),61 (63),32 (104),72 (51),56 (74)
74,Devlet,Aydın Adnan Menderes Üniversitesi,343,60 (66),70 (61),57 (78),31 (109),63 (72),62 (58)
75,Devlet,Bursa Teknik Üniversitesi,332,65 (53),56 (105),61 (64),46 (72),45 (107),59 (66)
76,Devlet,Kütahya Dumlupınar Üniversitesi,332,47 (93),72 (55),56 (79),43 (79),65 (67),49 (85)
77,Devlet,Karamanoğlu Mehmetbey Ü.,329,53 (84),70 (62),61 (65),47 (69),52 (95),46 (95)
78,Devlet,Kastamonu Üniversitesi,328,67 (47),68 (71),58 (76),39 (88),54 (91),42 (103)
79,Devlet,Afyon Kocatepe Üniversitesi,326,41 (106),70 (63),53 (86),50 (59),66 (65),46 (96)
80,Devlet,Mardin Artuklu Üniversitesi,326,53 (85),69 (68),54 (83),34 (99),62 (73),54 (77)
81,Devlet,Nevşehir Hacı Bektaş Veli Ü.,325,52 (86),63 (84),58 (77),56 (47),47 (102),49 (86)
82,Devlet,Bolu Abant İzzet Baysal Ü.,325,61 (63),68 (72),45 (103),32 (105),70 (58),49 (87)
83,Devlet,Kırklareli Üniversitesi,318,44 (99),66 (76),49 (92),61 (39),53 (93),45 (99)
84,Devlet,Hatay Mustafa Kemal Üniversitesi,318,54 (80),55 (107),48 (97),45 (75),59 (79),57 (71)
85,Devlet,Ankara Hacı Bayram Veli Ü.,317,55 (76),46 (119),54 (84),42 (80),57 (84),63 (57)
86,Devlet,Amasya Üniversitesi,311,40 (109),59 (94),70 (39),32 (106),57 (85),53 (80)
87,Devlet,Kafkas Üniversitesi,310,58 (73),64 (81),50 (88),25 (121),61 (76),52 (82)
88,Devlet,Sakarya Uygulamalı Bilimler Ü.,309,54 (81),57 (99),46 (101),39 (89),59 (80),54 (78)
89,Devlet,Niğde Ömer Halisdemir Ü.,309,51 (88),66 (77),47 (98),27 (117),62 (74),56 (75)
90,Devlet,Kayseri Üniversitesi,308,59 (69),51 (111),44 (107),62 (38),45 (108),47 (91)
91,Devlet,Uşak Üniversitesi,305,39 (112),68 (73),56 (80),48 (64),56 (87),38 (117)
92,Devlet,Gaziantep İslam Bilim ve Teknoloji Ü.,303,49 (89),70 (64),49 (93),32 (107),54 (92),49 (88)
93,Devlet,Eskişehir Osmangazi Üniversitesi,303,67 (48),56 (106),55 (81),27 (118),52 (96),46 (97)
94,Devlet,Siirt Üniversitesi,301,55 (77),57 (100),36 (121),48 (65),56 (88),49 (89)
95,Devlet,Ardahan Üniversitesi,289,44 (100),59 (95),65 (53),33 (101),50 (98),38 (118)
96,Devlet,Samsun Üniversitesi,288,41 (107),69 (69),47 (99),36 (95),53 (94),42 (104)
97,Devlet,Yalova Üniversitesi,287,39 (113),51 (112),53 (87),51 (56),50 (99),43 (101)
98,Devlet,Çankırı Karatekin Üniversitesi,284,42 (105),53 (108),42 (112),50 (60),47 (103),50 (83)
99,Devlet,Ankara Müzik ve Güzel Sanatlar Ü.,284,31 (125),74 (50),39 (117),31 (110),62 (75),47 (92)
100,Devlet,Sinop Üniversitesi,281,46 (95),62 (85),50 (89),32 (108),50 (100),41 (106)
101,Devlet,Kahramanmaraş Sütçü İmam Ü.,281,46 (96),62 (86),36 (122),22 (123),58 (83),57 (72)
102,Devlet,Kırıkkale Üniversitesi,280,49 (90),73 (54),38 (118),33 (102),47 (104),40 (109)
103,Devlet,Artvin Çoruh Üniversitesi,277,49 (91),50 (114),49 (94),47 (70),42 (117),40 (110)
104,Devlet,Trabzon Üniversitesi,276,58 (74),58 (97),49 (95),21 (124),43 (111),47 (93)
105,Devlet,Ağrı İbrahim Çeçen Üniversitesi,275,38 (116),62 (87),47 (100),29 (113),60 (78),39 (112)
106,Devlet,Bingöl Üniversitesi,273,43 (103),57 (101),44 (108),44 (78),39 (119),46 (98)
107,Devlet,Erzincan Binali Yıldırım Ü.,273,44 (101),58 (98),42 (113),42 (81),47 (105),40 (111)
108,Devlet,Gümüşhane Üniversitesi,272,46 (97),57 (102),41 (115),41 (84),49 (101),38 (119)
109,Devlet,Yozgat Bozok Üniversitesi,270,33 (121),61 (92),50 (90),41 (85),43 (112),42 (105)
110,Devlet,Muş Alparslan Üniversitesi,269,41 (108),57 (103),55 (82),36 (96),43 (113),37 (120)
111,Devlet,Alanya Alaaddin Keykubat Ü.,261,37 (117),66 (78),43 (110),28 (115),44 (109),43 (102)
112,Devlet,Bilecik Şeyh Edebali Üniversitesi,260,32 (122),52 (109),46 (102),45 (76),46 (106),39 (113)
113,Devlet,Osmaniye Korkut Ata Üniversitesi,260,32 (123),59 (96),36 (123),42 (82),38 (122),53 (81)
114,Devlet,Aksaray Üniversitesi,257,48 (92),44 (120),45 (104),38 (91),43 (114),39 (114)
115,Devlet,Malatya Turgut Özal Üniversitesi,255,36 (119),52 (110),42 (114),30 (112),56 (89),39 (115)
116,Devlet,Adıyaman Üniversitesi,252,43 (104),47 (117),35 (124),36 (97),52 (97),39 (116)
117,Devlet,Batman Üniversitesi,252,40 (110),57 (104),49 (96),33 (103),38 (123),35 (122)
118,Devlet,Bayburt Üniversitesi,247,37 (118),47 (118),45 (105),34 (100),43 (115),41 (107)
119,Devlet,Iğdır Üniversitesi,245,36 (120),44 (121),44 (109),41 (86),44 (110),36 (121)
120,Devlet,Munzur Üniversitesi,242,44 (102),48 (116),40 (116),26 (119),39 (120),45 (100)
121,Devlet,İzmir Demokrasi Üniversitesi,237,39 (114),44 (122),37 (120),28 (116),39 (121),50 (84)
122,Devlet,Kilis 7 Aralık Üniversitesi,234,40 (111),40 (123),45 (106),38 (92),38 (124),33 (123)
123,Devlet,Şırnak Üniversitesi,216,52 (87),37 (125),38 (119),16 (126),43 (116),30 (125)
124,Devlet,Hakkâri Üniversitesi,214,32 (124),39 (124),31 (126),35 (98),36 (125),41 (108)
125,Devlet,Kahramanmaraş İstiklal Üniversitesi,211,46 (98),32 (126),43 (111),25 (122),35 (126),30 (126)
126,Devlet,Bitlis Eren Üniversitesi,204,28 (126),51 (113),32 (125),21 (125),40 (118),32 (124)
127,Vakıf,MEF Üniversitesi,525,92 (1),83 (9),86 (3),92 (1),85 (9),87 (5)
128,Vakıf,TED Üniversitesi,519,85 (3),87 (4),93 (1),90 (2),81 (16),83 (7)
129,Vakıf,Hasan Kalyoncu Üniversitesi,515,80 (10),88 (2),78 (11),90 (3),89 (3),90 (2)
130,Vakıf,Sabancı Üniversitesi,507,84 (5),86 (5),88 (2),71 (18),88 (6),90 (3)
131,Vakıf,İhsan Doğramacı Bilkent Üniversitesi,503,83 (6),84 (7),77 (13),79 (10),89 (4),91 (1)
132,Vakıf,Özyeğin Üniversitesi,495,80 (11),88 (3),76 (15),79 (11),89 (5),83 (8)
133,Vakıf,Koç Üniversitesi,493,79 (14),80 (14),79 (8),78 (12),92 (2),85 (6)
134,Vakıf,Kadir Has Üniversitesi,491,82 (8),84 (8),78 (12),80 (9),86 (8),81 (11)
135,Vakıf,Biruni Üniversitesi,489,80 (12),83 (10),82 (5),85 (6),82 (14),77 (16)
136,Vakıf,İzmir Ekonomi Üniversitesi,488,78 (15),78 (20),79 (9),86 (5),85 (10),82 (10)
137,Vakıf,Sanko Üniversitesi,485,85 (4),73 (30),81 (7),88 (4),75 (25),83 (9)
138,Vakıf,Acıbadem Mehmet Ali Aydınlar Ü.,485,73 (19),85 (6),82 (6),78 (13),79 (18),88 (4)
139,Vakıf,Piri Reis Üniversitesi,484,77 (16),80 (15),86 (4),77 (14),84 (12),80 (12)
140,Vakıf,İstanbul Atlas Üniversitesi,482,80 (13),83 (11),79 (10),84 (7),79 (19),77 (17)
141,Vakıf,Bezm-İ Âlem Vakıf Üniversitesi,471,82 (9),72 (32),75 (16),81 (8),87 (7),74 (19)
142,Vakıf,Yaşar Üniversitesi,450,71 (21),75 (28),73 (19),73 (16),80 (17),78 (13)
143,Vakıf,Altınbaş Üniversitesi,449,73 (20),75 (29),71 (22),76 (15),76 (24),78 (14)
144,Vakıf,Yeditepe Üniversitesi,443,64 (33),91 (1),67 (29),71 (19),84 (13),66 (28)
145,Vakıf,İbn Haldun Üniversitesi,440,70 (24),79 (18),67 (30),61 (28),85 (11),78 (15)
146,Vakıf,KTO Karatay Üniversitesi,431,71 (22),78 (21),77 (14),60 (29),75 (26),70 (23)
147,Vakıf,İstanbul Bilgi Üniversitesi,427,70 (25),78 (22),74 (17),49 (41),82 (15),74 (20)
148,Vakıf,Fatih Sultan Mehmet Vakıf Üniversitesi,422,75 (17),70 (36),66 (32),73 (17),67 (38),71 (21)
149,Vakıf,İstanbul Sabahattin Zaim Üniversitesi,419,74 (18),80 (16),59 (44),70 (20),77 (23),59 (40)
150,Vakıf,İstanbul 29 Mayıs Üniversitesi,419,64 (34),78 (23),54 (52),65 (23),93 (1),65 (30)
151,Vakıf,Atılım Üniversitesi,419,87 (2),80 (17),60 (41),64 (25),68 (36),60 (39)
152,Vakıf,Işık Üniversitesi,415,83 (7),73 (31),69 (23),50 (38),78 (22),62 (34)
153,Vakıf,Kapadokya Üniversitesi,414,69 (29),77 (26),73 (20),65 (24),72 (29),58 (42)
154,Vakıf,Nuh Naci Yazgan Üniversitesi,411,66 (30),77 (27),64 (35),66 (22),70 (32),68 (24)
155,Vakıf,İstanbul Ticaret Üniversitesi,405,70 (26),71 (33),69 (24),55 (33),73 (28),67 (25)
156,Vakıf,Maltepe Üniversitesi,401,58 (40),79 (19),65 (33),59 (30),79 (20),61 (37)
157,Vakıf,İstanbul Medipol Üniversitesi,400,70 (27),83 (12),62 (39),47 (44),74 (27),64 (31)
158,Vakıf,Beykoz Üniversitesi,391,71 (23),70 (37),73 (21),41 (50),69 (34),67 (26)
159,Vakıf,Demiroğlu Bilim Üniversitesi,390,61 (36),58 (55),69 (25),62 (26),69 (35),71 (22)
160,Vakıf,Başkent Üniversitesi,389,65 (32),82 (13),58 (47),51 (36),72 (30),61 (38)
161,Vakıf,TOBB Ekonomi ve Teknoloji Üniversitesi,388,70 (28),66 (42),69 (26),39 (53),68 (37),76 (18)
162,Vakıf,İstanbul Okan Üniversitesi,387,62 (35),78 (24),62 (40),43 (47),79 (21),63 (33)
163,Vakıf,Bahçeşehir Üniversitesi,385,57 (43),78 (25),69 (27),49 (42),66 (39),66 (29)
164,Vakıf,Antalya Bilim Üniversitesi,384,58 (41),66 (43),65 (34),67 (21),70 (33),58 (43)
165,Vakıf,İstanbul Kültür Üniversitesi,379,54 (48),71 (34),69 (28),50 (39),71 (31),64 (32)
166,Vakıf,İstanbul Kent Üniversitesi,350,59 (38),53 (61),57 (50),49 (43),65 (41),67 (27)
167,Vakıf,Ufuk Üniversitesi,349,55 (46),66 (44),64 (36),39 (54),66 (40),59 (41)
168,Vakıf,İstanbul Beykent Üniversitesi,346,66 (31),71 (35),60 (42),45 (45),64 (42),40 (61)
169,Vakıf,İstinye Üniversitesi,339,57 (44),64 (46),59 (45),50 (40),53 (48),56 (44)
170,Vakıf,Üsküdar Üniversitesi,337,52 (50),56 (56),67 (31),39 (55),61 (43),62 (35)
171,Vakıf,Çankaya Üniversitesi,332,58 (42),68 (40),58 (48),44 (46),57 (45),47 (52)
172,Vakıf,Yüksek İhtisas Üniversitesi,329,44 (60),59 (54),59 (46),51 (37),54 (46),62 (36)
173,Vakıf,Lokman Hekim Üniversitesi,328,51 (53),44 (69),74 (18),53 (34),51 (50),55 (46)
174,Vakıf,Çağ Üniversitesi,326,57 (45),66 (45),60 (43),33 (64),58 (44),52 (47)
175,Vakıf,Mudanya Üniversitesi,322,49 (55),56 (57),64 (37),62 (27),53 (49),38 (64)
176,Vakıf,Toros Üniversitesi,319,49 (56),61 (51),64 (38),52 (35),42 (64),51 (48)
177,Vakıf,İstanbul Nişantaşı Üniversitesi,308,52 (51),69 (39),51 (55),43 (48),47 (60),46 (54)
178,Vakıf,İstanbul Topkapı Üniversitesi,306,52 (52),67 (41),48 (59),57 (32),49 (54),33 (73)
179,Vakıf,İzmir Tınaztepe Üniversitesi,297,59 (39),52 (62),55 (51),43 (49),44 (63),44 (57)
180,Vakıf,Doğuş Üniversitesi,297,41 (65),62 (50),54 (53),41 (51),50 (52),49 (51)
181,Vakıf,Avrasya Üniversitesi,287,39 (68),60 (52),47 (60),36 (58),54 (47),51 (49)
182,Vakıf,Alanya Üniversitesi,283,55 (47),54 (60),42 (62),59 (31),36 (69),37 (67)
183,Vakıf,İstanbul Gedik Üniversitesi,279,44 (61),52 (63),53 (54),32 (66),51 (51),47 (53)
184,Vakıf,Ankara Medipol Üniversitesi,277,50 (54),63 (49),39 (68),39 (56),45 (61),41 (58)
185,Vakıf,İstanbul Sağlık ve Teknoloji Ü.,274,61 (37),50 (64),38 (70),39 (57),40 (66),46 (55)
186,Vakıf,İstanbul Arel Üniversitesi,272,41 (66),55 (58),50 (56),36 (59),45 (62),45 (56)
187,Vakıf,İstanbul Rumeli Üniversitesi,272,42 (62),60 (53),58 (49),36 (60),42 (65),34 (71)
188,Vakıf,Konya Gıda ve Tarım Üniversitesi,267,54 (49),64 (47),38 (71),27 (70),48 (58),36 (69)
189,Vakıf,Ostim Teknik Üniversitesi,264,40 (67),43 (71),44 (61),32 (67),49 (55),56 (45)
190,Vakıf,İstanbul Aydın Üniversitesi,263,45 (59),64 (48),42 (63),35 (61),39 (67),38 (65)
191,Vakıf,İstanbul Gelişim Üniversitesi,258,42 (63),43 (72),50 (57),33 (65),49 (56),41 (59)
192,Vakıf,Haliç Üniversitesi,258,30 (73),70 (38),41 (65),29 (68),50 (53),38 (66)
193,Vakıf,Türk Hava Kurumu Üniversitesi,249,34 (71),46 (66),41 (66),29 (69),49 (57),50 (50)
194,Vakıf,İstanbul Yeni Yüzyıl Üniversitesi,234,39 (69),47 (65),38 (72),22 (74),48 (59),40 (62)
195,Vakıf,Kocaeli Sağlık ve Teknoloji Ü.,233,46 (58),55 (59),40 (67),23 (73),28 (72),41 (60)
196,Vakıf,Fenerbahçe Üniversitesi,232,42 (64),44 (70),39 (69),35 (62),38 (68),34 (72)
197,Vakıf,İstanbul Galata Üniversitesi,226,49 (57),45 (68),32 (73),41 (52),22 (74),37 (68)
198,Vakıf,Ankara Bilim Üniversitesi,221,35 (70),38 (73),49 (58),35 (63),29 (71),35 (70)
199,Vakıf,Antalya Belek Üniversitesi,200,29 (74),37 (74),42 (64),25 (71),35 (70),32 (74)
200,Vakıf,İstanbul Esenyurt Üniversitesi,199,33 (72),46 (67),28 (74),24 (72),28 (73),40 (63)
